a adir peso a	نزن ، سنگيني ، سنگ وزنه ، چيز سنگين ، سنگين کردن ، بار کردن
abadesa	رءيسه صومعه زنان تارک دنيا
abajo	درزير ، پايين ، مادون ، زير ، پايين ، در زير ، از زير ، پايين تر از ، روي خاک ، کوچکتر ، پست تر ، زيرين ، پاييني ، پايين تر ، تحتاني ، تحت نفوذ ، تحت فشار ، پر دراوردن جوجه پرندگان ، پرهاي ريزي که براي متکا بکار ميرود ، کرک ، کرک صورت پايين ، سوي پايين ، بطرف پايين ، زير ، بزير ، دلتنگ ، غمگين ، پيش قسط ، طبقه پايين ، واقع در طبقه زير ، زير ، درزير ، تحت ، پايين تراز ، کمتر از ، تحت تسلط ، مخفي در زير ، کسري دار ، کسر ، زيرين
abajo	در زير ، از زير ، زيرين ، پاييني ، پايين
abandonado	سرگردان ، بيچاره ، درمانده ، بي کس ، متروک
abandonar	ترک گقتن ، واگذارکردن ، تسليم شدن ، رهاکردن ، تبعيدکردن ، واگذاري ، رهاسازي ، بي خيالي ، واگذار کردن ، تسليم کردن ، صرفنظرکردن از ، بيابان ، دشت ، صحرا ، شايستگي ، استحقاق ، سزاواري ، :ول کردن ، ترک کردن ، گريختن ، ول کردن ، ترک ، رها کردن ، انکار کردن ، اجازه ، اذن ، مرخصي ، رخصت ، باقي گذاردن ، رها کردن ، ول کردن ، گذاشتن ، دست کشيدن از ، رهسپار شدن ، عازم شدن ، ترک کردن ، : (لعاف) برگ دادن ، ول کردن ، ترک کردن ، چشم پوشيدن ، ثمر دادن ، واگذارکردن ، ارزاني داشتن ، بازده ، محصول ، حاصل ، تسليم کردن يا شدن
abandono	ترک ، رهاسازي ، واگذاري ، دل کندن
abanico el ctrico	باد بزن ، تماشاچي ورزش دوست ، باد زدن ، وزيدن بر
abaratar	ازقيمت کاستن ، ارزان شدن ، تحقير کردن ، ناچيز شمردن
abastecer de combustible	سوخت ، غذا ، اغذيه ، تقويت ، سوخت گيري کردن ، سوخت دادن (به) ، تحريک کردن ، تجديد نيرو کردن
abastecimiento	منبع ، موجودي ، تامين کردن ، تدارک ديدن
abate	کشيش ، راهب ، ابه ، پدر روحاني
abatida	سد درختي
abatido	دژم ، دلتنگ ، پريشان ، افسرده ، غمگين ، ملول ، پر دراوردن جوجه پرندگان ، پرهاي ريزي که براي متکا بکار ميرود ، کرک ، کرک صورت پايين ، سوي پايين ، بطرف پايين ، زير ، بزير ، دلتنگ ، غمگين ، پيش قسط
abatir	پست کردن ، تحقيرنمودن ، کم ارزش کردن
abc	سه حرف اول الفباي انگليسي که نماينده حروف الفبا است ، الفبا ، کتاب الفبا ، پايه کار ، مبدا کار
abdicacin	استعفا ، کناره گيري
abdicar	واگذار کردن ، تفويض کردن ، ترک گفتن ، محروم کردن (ازارث) ، کناره گيري کردن ، استعفا دادن ، مستعفي شدن ، کناره گرفتن ، تفويض کردن ، استعفا دادن از ، دست کشيدن
abdomen	شکم ، بطن
abdominal	شکمي ، بطني ، وريدهاي شکمي ، ماهيان بطني
abducir	ربودن ، دزديدن (شخص) ، دور کردن ، ادم دزديدن ، از مرکز بدن دور کردن (طب)
abecedario	سه حرف اول الفباي انگليسي که نماينده حروف الفبا است ، الفبا ، کتاب الفبا ، پايه کار ، مبدا کار ، ابجداموز ، ابجدخوان ، مبتدي ، ابتدايي ، الفبا
abedul	درخت فان ، غان ، توس ، درخت غوشه
abeja	زنبورعسل ، مگس انگبين ، زنبور
abejorro	زنبورعسل ، زنبور درشت
aberracin	کجراهي ، انحراف ، عدم انطباق کانوني
aberrante	گمراه ، منحرف ، بيراه ، نابجا ، کجراه
abertura	دهانه ، چشمه ، جاي خالي ، سوراخ ، سراغاز ، افتتاح ، گشايش
abeto	صنوبر ، شاه درخت
abetura	روزنه
abierto	نيم باز ، باز ، ازاد ، اشکار ، باز کردن ، باز شدن
abigarrado	رنگارنگ ، اميخته ، مختلط ، لباس رنگارنگ دلقک ها ، لباس چهل تکه
abismal	ژرف ، گردابي ، ناپيمودني
abismo	بسيار عميق ، بي پايان ، غوطه ورساختن ، مغاک ، شکاف ، وقفه ، فرق بسيار ، پرتگاه عظيم
abjuraci	پيمان شکني ، عهد شکني ، سوگند شکني ، نقض عهد ، ترک عقيده ، ارتداد ، انکار
abjurar	سوگند شکستن ، نقض عهد کردن ، براي هميشه ترک گفتن ، مرتد شدن ، رافضي شدن ، باسوگند انکار کردن ، انکار کردن ، انکار کردن ، سرزنش يا متهم کردن
ablandar	سبک کردن ، تخفيف دادن ، تسکين دادن ، نرم کردن ، ملا يم کردن ، اهسته ترکردن ، شيرين کردن ، فرونشاندن ، خوابانيدن ، کاستن ، از ، کم کردن ، نرم شدن
ablativo	ازي ، کاهنده ، مفعول به ، مفعول عنه ، مفعول منه ، صيغه الت ، رافع ، مربوط به مفعول به يا مفعول عنه
ablucin	شستشو ، ابدست ، غسل
abnegaci	چشم پوشي ، کف نفس ، انکار ، رد ، فداکاري
abnegar	ترک کردن ، انکار کردن ، بخود حرام کردن ، کف نفس کردن
abochornar	شرمنده کردن ، خجالت دادن ، دست پاچه نمودن
abofetear	قفسه جاي ظرف ، بوفه ، اشکاف ، رستوران ، کافه ، مشت ، ضربت ، سيلي ، اصابت ، خوردن ، ضربت ، تصادف ، موفقيت ، نمايش يافيلم پرمشتري ، زدن ، خوردن به ، اصابت کردن به هدف زدن ، باکف دست زدن ، سيلي ، تودهني ، ضربت ، ضربت سريع ، صداي چلب چلوپ ، سيلي زدن ، تپانچه زدن ، زدن
abogado	دفاع کردن ، طرفداري کردن ، حامي ، طرفدار ، وکيل مدافع ، وکيل ، مدعي ، وکالت ، نمايندگي ، وکيل مدافع ، وکيل مدافع ، وکيل مشاور ، وکيل دعاوي ، قانون دان ، حقوقدان ، وکيل دادگستري ، مشاور حقوقي ، قانون دان ، فقيه ، شارع ، ملا ، حقوقدان
abogar	دفاع کردن ، طرفداري کردن ، حامي ، طرفدار ، وکيل مدافع
abolas	طاقت ، بردباري ، وضع ، رفتار ، سلوک ، جهت ، نسبت
abolicin	کاهش ، تخطفيف ، فروکش ، جلوگيري ، غصب ، برانداختگي ، لغو ، فسخ ، الغا مجازات
abolicionismo	مخالفت با بردگي
abolir	برانداختن ، ازميان بردن ، منسوخ کردن ، برداشت کردن ، رفع کردن ، عزل کردن
abolladura	دست انداز جاده ، ضربت ، ضربت حاصله دراثر تکان سخت ، برامدگي ، تکان سخت (در هواپيماو غيره) ، تکان ناگهاني ، ضربت (توام باتکان) زدن ، دندانه ، گودي ، تو رفتگي ، جاي ضربت ، دندانه کردن ، دنداني
abominable	مکروه ، زشت ، ناپسند ، منفور ، بيگانه ، خارجي ، مخالف ، مغاير ، ناسازگار ، غريبه بودن ، ناسازگار بودن ، مهيب يا ترسناک ، ترس ، عظمت ، زشت ، زننده ، شنيع ، وقيح ، سهمگين ، ترسناک ، مهيب ، مخو
abominaci	زشتي ، پليدي ، نفرت ، کراهت ، نجاست ، عمل شنيع
abominar	ناپسند شمردن ، مکروه دانستن ، تنفر داشتن ، نفرت کردن ، نفرت کردن ، تنفر داشتن از ، بيزار بودن از ، نفرت داشتن از ، بيزار بودن ، بد دانستن ، منزجر بودن ، بيزار کردن ، سبب بيزاري شدن
abonado	مشترک روزنامه وغيره ، امضا کننده
abonador	برده ، غلا م ، ضامن ، کفيل
abonar	بارور کردن ، حاصلخيز کردن ، لقاح کردن ، کود دادن
abono	مرهم گذاري وزخم بندي ، مرهم ، چاشني ، مخلفات ، ارايش ، لباس ، کود ، مدفوع حيوانات (مثل گاو واسب) ، پشکل ، کود دادن ، سرگين ، لقاح ، عمل کود دادن ، کود دادن ، کود کشاورزي
abordar	مخاطب ساختن ، مواجه شدن(با) ، نزديک شدن(بهر منظوري),مشتري جلب کردن(زنان بدکاردر خيابان) ، نزديک کشيدن ، در امتداد چيزي حرکت کردن(مثل کشتي) ، مشي ، نزديک شدن
aborigen	بومي ، اصلي ، سکنه اوليه ، اهل يک اب و خاک ، بومي ، ساکن اوليه ، اهلي ، قديم ، گياه بومي ، بومي ، طبيعي ، ذاتي ، مکنون ، فطري
aborrecer	تنفر داشتن از ، بيم داشتن از ، ترس داشتن از ، ترساندن ، ترسيدن ، نفرت کردن ، تنفر داشتن از ، بيزار بودن از ، نفرت داشتن از ، بيزار بودن ، کينه ورزيدن ، دشمني ، نفرت ، تنفر ، نفرت داشتن از ، بيزار بودن ، بد دانستن ، منزجر بودن ، بيزار کردن ، سبب بيزاري شدن
aborrecible	نفرت انگيز ، زننده ، دافع ، بي رغبت کننده
aborrecimiento	تنفر ، بيزاري ، انزجار ، وحشت
abortar	بچه انداختن ، سقط کردن ، نارس ماندن ، ريشه نکردن ، عقيم ماندن ، بي نتيجه ماندن ، بجايي نرسيدن ، نتيجه ندادن ، عقيم ماندن ، صدمه ديدن ، اشتباه کردن ، بچه انداختن(در اثر کسالت وبطور غير عمدي)
abortista	کسي که موجب سقط جنين ميشود ، سقط جنين کننده
abortivo	مسقط ، رشد نکرده ، عقيم ، بي ثمر ، بي نتيجه
aborto	سقط جنين ، بچه اندازي ، سقط نوزاد نارس يا رشد نکرده ، عدم تکامل ، بي نتيجگي ، عدم توفيق ، حادثه ناگوار ، سقط جنين غير عمدي
abotonar	دکمه
abozalar	پوزه ، پوزه بند ، دهان بند ، دهنه ، سرلوله هفت تير ياتفنگ ، پوزه بندزدن ، مانع فعاليت شدن
abra	سرخ مايل به قرمز ، کهير ، خليج کوچک ، عوعوکردن ، زوزه کشيدن(سگ) ، دفاع کردن درمقابل ، عاجزکردن ، اسب کهر
abracadabra	طلسم ، ورد ، سخن نامفهوم
abrasivo	ساينده ، تراشنده ، سوزش اور ، سايا
abrason	خراش ، سايش ، ساييدگي
abrazadera	تحريک احساسات ، تجديد و احياي روحيه ، بند شلوار ، خط ابرو ، بابست محکم کردن ، محکم بستن ، درمقابل فشار مقاومت کردن ، اتل ، قلا ب ، کروشه
abrazar	گيره قزن قفلي ، جفت چپراست ، قلا ب ، دراغوش گرفتن ، بستن  ، دراغوش گرفتن ، در بر گرفتن ، بغل کردن ، پذيرفتن ، شامل بودن ، دراغوش گرفتن ، بغل کردن ، محکم گرفتن
abrazo	دراغوش گرفتن ، در بر گرفتن ، بغل کردن ، پذيرفتن ، شامل بودن ، دراغوش گرفتن ، بغل کردن ، محکم گرفتن
abreviaci	کوتهسازي ، مخفف ، تلخيص ، اختصار
abreviar	کوتاه کردن ، مختصرکردن ، خلا صه کردن ، کوتاه کردن ، مختصر کردن ، کوتاه کردن ، مختصر کردن ، کاستن
abreviatura	کوتهسازي ، مخفف ، تلخيص ، اختصار
abrigar	گرامي داشتن ، تسلي دادن ، پناهگاه ، جان پناه ، محافظت ، حمايت ، محافظت کردن ، پناه دادن
abrigo	کت ، نيمتنه ، روکش ، پوشاندن ، روکش کردن ، اندودن ، شنل زنانه ، بالا پوش ، ردا ، پوشش ، کلا ه توري ، پالتو ، پناهگاه ، جان پناه ، محافظت ، حمايت ، محافظت کردن ، پناه دادن
abril	ماه چهارم سال فرنگي ، اوريل
abrir	باز ، ازاد ، اشکار ، باز کردن ، باز شدن ، گشودن (قفل) ، بازکردن
abrir con lanceta	نيزه ، ضربت نيزه ، نيشتر زدن ، نيزه زدن
abrochar	سگک ، قلا ب ، پيچ ، باسگک بستن ، دست وپنجه نرم کردن ، تسمه فلزي ، چپراست ، خم شدن ، دکمه ، گيره قزن قفلي ، جفت چپراست ، قلا ب ، دراغوش گرفتن ، بستن  ، بستن ، محکم کردن ، چسباندن ، سفت شدن
abrogar	منسوخ ، از ميان برده ، ملغي ، ازميان بردن ، باطل کردن ، منسوخ کردن ، لغو کردن ، برداشت کردن ، رفع کردن ، عزل کردن
abrupto	خشن در رفتار ، بي ادب ، پيش جواب ، سرازير ، تند ، سراشيب ، گزاف ، فرو کردن (در مايع) ، خيساندن ، اشباع کردن ، شيب دادن ، مايع (جهت خيساندن)
absceso	ورم چرکي ، ماده ، دمل ، ابسه ، دنبل
abscisa	جدا کردن طول روي محور مختصات ، طول ، بعد افقي
absenista	مالک غايب ، غايب ، مفقودالا ثر ، شخص غايب
absentismo	حالت غايب بودن ، غيبت
absolucin	امرزش گناه ، بخشايش ، عفو ، بخشودگي ، تبرءه ، براءت ، انصراف از مجازات ، منع تعقيب کيفري ، تبرءه واريز ، براءت ذمه ، رو سفيدي
absolutismo	مطلق گرايي ، حکومت مطلقه ، اعتقاد به قادر علي الا طلا ق (خدا) ، طريقه مطلقه ، سيستم سلطنت استبدادي
absoluto	مطلق ، غير مشروط ، مستقل ، استبدادي ، خودراي ، کامل ، قطعي ، خالص ، ازاد از قيود فکري ، غير مقيد ، مجرد ، دايره نامحدود ، صرف ، محض ، خالص ، راست ، تند ، مطلق ، بطورعمود ، يک راست ، پاک ، بکلي ، مستقيما ، ظريف ، پارچه ظريف ، حريري ، برگشتن ، انحراف حاصل کردن ، کنار رفتن ، کنار زدن ، کل ، کلي ، تام ، مطلق ، مجموع ، جمع ، جمله ، سرجمع ، حاصل جمع ، جمع کردن ، سرجمع کردن ، يکه تاز ، وابسته بحکومت يکه تازي ، داراي حکومت مطلقه وديکتاتوري
absolver	بخشيدن (گناه) ، امرزيدن ، عفو کردن ، کسي را از گناه بري کردن ، اعلا م بي تقصيري کردن ، بري الذمه کردن ، کسي را ازانجام تعهدي معاف ساختن ، پاک کردن ، مبرا کردن ، تبرءه کردن ، روسفيد کردن ، برطرف کردن ، اداکردن ، از عهده برامدن ، انجام وظيفه کردن ، پرداختن و تصفيه کردن(وام و ادعا) ، اداي (دين) نمودن ، براءت (ذمه) کردن
absorbencia	خاصيت درکشي يا دراشامي ، جذب ، فروبري ، تحليل ، قابليت جذب ، قدرت جذب
absorbente	جاذب ، داراي خاصيت جذب ، درکش ، دراشام ، جاذب ، داراي خاصيت جذب ، درکش ، دراشام ، جاذب ، جالب ، دلربا ، جذاب ، درکش ، دراشام
absorber	درکشيدن ، دراشاميدن ، جذب کردن ، فروبردن ، فراگرفتن ، جذب شدن (غدد) ، کاملا فروبردن ، تحليل بردن ، مستغرق بودن ، مجذوب شدن در
absorci	جذب ، درکشي ، دراشامي ، فريفتگي ، انجذاب
absorto	فراموشکار ، بي توجه
abssorber	درکشيدن ، دراشاميدن ، جذب کردن ، فروبردن ، فراگرفتن ، جذب شدن (غدد) ، کاملا فروبردن ، تحليل بردن ، مستغرق بودن ، مجذوب شدن در
abstemio	مرتاض ، ممسک در خورد و نوش و لذات ، مخالف استعمال مشروبات الکلي.پرهيزکار ، پارسامنش ، طرفدار منع استعمال مشروبات الکلي
abstencin	خودداري ، پرهيز ، خودداري از دادن راي
abstenerse	خودداري کردن (از) ، پرهيز کردن (از) ، امتناع کردن (از)
abstenerse	چشم پوشيدن از ، صرفنظر کردن از ، رها کردن
abstinencia	پرهيز ، خودداري ، رياضت ، پرهيز از استعمال مشروبات الکلي ، پيروي از اصل منع استعمال مسکرات
abstracci	تجريد ، انتزاع ، چکيدگي
abstracto	ربودن ، بردن ، کش رفتن ، خلا صه کردن ، جداکردن ، تجزيه کردن ، جوهرگرفتن از ، عاري ازکيفيات واقعي(در مورد هنرهاي ظريف)نمودن ، :خلا صه ، مجمل ، خلا صه ء کتاب ، مجرد ، مطلق ، خيالي ، غيرعملي ، بي مسمي ، خشک ، معنوي ، صريح ، زبده ، انتزاعي ، معني.  ، مجزا ، پريشان خيال ، مختصر
abstraer	ربودن ، بردن ، کش رفتن ، خلا صه کردن ، جداکردن ، تجزيه کردن ، جوهرگرفتن از ، عاري ازکيفيات واقعي(در مورد هنرهاي ظريف)نمودن ، :خلا صه ، مجمل ، خلا صه ء کتاب ، مجرد ، مطلق ، خيالي ، غيرعملي ، بي مسمي ، خشک ، معنوي ، صريح ، زبده ، انتزاعي ، معني
absurdidad	پوچي ، چرندي ، مزخرف بودن
absurdo	پوچ ، ناپسند ، ياوه ، مزخرف ، بي معني ، نامعقول ، عبث ، مضحک ، پوچي ، چرندي ، مزخرف بودن ، نابخرد ، نادان ، جاهل ، ابله ، احمق ، ابلهانه ، مزخرف
abuchear	صداي گاو يا جغد کردن ، اظهار تنفر ، هو کردن
abuela	مادر بزرگ ، نه نه جا ، مادر بزرگ ، مثل مادر بزرگ رفتار کردن
abuelito	پدر بزرگ
abuelo	پدر بزرگ ، پدر بزرگ يا مادر بزرگ ، جد يا جده
abultado	بزرگ ، جسيم
abultar	برامدگي ، شکم ، تحدب ، ورم ، بالا رفتگي ، صعود ، متورم شدن ، باد کردن ، بزرگ کردن ، باتفصيل شرح دادن ، توسعه دادن ، وسيع کردن ، بسط دادن ، باد کردن ، پر از باد کردن ، پر از گاز کردن زياد بالا بردن ، مغرورکردن ، متورم شدن ، باد کردن ، اماس کردن ، متورم کردن ، باد غرور داشتن ، تورم ، برجستگي ، برجسته ، شيک ، زيبا (د.گ.- امر.) عال
abundancia	فراواني ، وفور ، فراوان ، بسيار ، فراواني ، بسياري ، کفايت ، بمقدار فراوان
abundante	بسيار ، فراوان ، وافر ، وافر ، فراوان
abundar	فراوان بودن ، زياد بودن ، وفور داشتن ، تعيين حدود کردن ، محدود کردن
abunde	فراوان بودن ، زياد بودن ، وفور داشتن ، تعيين حدود کردن ، محدود کردن
aburrido	کند ، راکد ، کودن ، گرفته ، متاثر ، کند کردن ، ادم کودن ، يکنواختي ، ملا لت ، مبتذل ، گردن کلفت ، انباشته ، سنگين وکندرو ، سنگين ، لخت ، قلنبه ، خسته کننده ، مزاحم ، طاقت فرسا
aburrimiento	دلخوري ، ازار ، اذيت ، ممانعت ، ازردگي ، رنجش ، ملا لت ، خستگي
aburrir	دلخورکردن ، ازردن ، رنجاندن ، اذيت کردن ، بستوه اوردن ، خشمگين کردن ، تحريک کردن ، مزاحم شدن ، گمانه ، سوراخ کردن ، سنبيدن ، سفتن ، نقب زدن ، بامته تونل زدن  ، خسته کردن ، موي دماغ کسي شدن ، خسته شدن ، منفذ ، سوراخ ، مته ، وسيله سوراخ کردن ، کاليبر تفنگ ، خسته کننده
abusar	بد بکار بردن ، بد استعمال کردن ، سو استفاده کردن از,ضايع کردن ، بدرفتاري کردن نسبت به ، تجاوز به حقوق کسي کردن ، به زني تجاوز کردن ، ننگين کردن ، بدبکار بردن ، بد رفتاري ، سوء استفاده
abusar	بد بکار بردن ، بد استعمال کردن ، سو استفاده کردن از,ضايع کردن ، بدرفتاري کردن نسبت به ، تجاوز به حقوق کسي کردن ، به زني تجاوز کردن ، ننگين کردن ، رفتار ، کردار ، عمل ، کاربرجسته ، شاهکار ، :بکار انداختن ، استخراج کردن ، بهره برداري کردن از ، استثمار کردن
abusivo	سوء استفاده ، سوء استعمال ، شيادي ، فريب ، دشنام ، فحش ، بد زباني ، تجاوز به عصمت ، تهمت ، تعدي ، :ناسزاوار ، زبان دراز ، بدزبان ، توهين اميز
abuso	بد بکار بردن ، بد استعمال کردن ، سو استفاده کردن از,ضايع کردن ، بدرفتاري کردن نسبت به ، تجاوز به حقوق کسي کردن ، به زني تجاوز کردن ، ننگين کردن ، بدبکار بردن ، بد رفتاري ، سوء استفاده
abyecto	پست ، فرومايه ، سرافکنده ، مطرود ، روي برتافتن ، خوار ، پست کردن ، کوچک کردن ، تحقيرکردن
ac	اينجا ، در اينجا ، در اين موقع ، اکنون ، در اين باره ، بدينسو ، حاضر
acabado	 ، انجام شده ، وقوع يافته ، بالا ي ، روي ، بالا ي سر ، بر فراز ، ان طرف ، درسرتاسر ، دربالا ، بسوي ديگر ، متجاوز از ، بالا يي ، رويي ، بيروني ، شفا يافتن ، پايان يافتن ، به انتها رسيدن ، پيشوندي بمعني زيادو زياده و بيش
acabar	مرتب کردن ، مستعد کردن ، ترتيب کارها را معين کردن ، انتها ، خاتمه ، خاتمه دادن ، خاتمه يافتن ، بپايان رسانيدن ، تمام کردن ، رنگ وروغن زدن ، تمام شدن ، پرداخت رنگ وروغن ، دست کاري تکميلي ، پايان ، پرداخت کار ، پايان دادن ، پايان يافتن
acacia	اقاقيا ، اکاسيا ، اکاکيا ، درخت صمغ عربي
acad mico	مربوط به فرهنگستان ادبي يا انجمن علمي ، عضو فرهنگستان ، طرفدار حکمت و فلسفه افلا طون ، عضو فرهنگستان ، عضو انجمن دانش ، عضو اکادمي
academia	فرهنگستان ، دانشگاه ، اموزشگاه ، مدرسه ، مکتب ، انجمن ادباء و علماء ، انجمن دانش ، اکادمي ، نام باغي در نزديکي اتن که افلا طون در ان تدريس ميکرده است(آثادعمي) ، مکتب و روش تدريس افلا طوني
acallar	خاموش کردن ، ارامش دادن ، مخفي نگاهداشتن ، ارام شدن ، صدا د ر نياوردن ، ساکت ، ارام ، خموش ، باغباني ، ارام کردن ، تسکين دادن ، ساکت کردن ، خموشي ، خاموشي ، سکوت ، ارامش ، فروگذاري ، ساکت کردن ، ارام کردن ، خاموش شدن
acampar	اردوي موقتي ، شب را بيتوته کردن ، اردو ، اردوگاه ، لشکرگاه ، منزل کردن ، اردو زدن ، چادر زدن (بيشتر با out) ، اردو زدن ، چادر زدن ، خيمه برپا کردن ، منزل دادن
acanalar	زمين يامزرعه شخم زده ، شيار ، خط گود ، شياردار کردن ، شيار زدن ، شخم زدن ، منقار ، اسکنه جراحي ، بزورستاني ، غضب ، جبر ، در اوردن ، کندن ، با اسکنه کندن ، بزور ستاندن ، گول زدن ، شيار ، خياره ، خط ، گودي ، جدول ، کانال ، خان تفنگ,(مج.) کارجاري ويکنواخت ، عادت زندگي ، خط انداختن ، شيار دار کردن
acantilado	تخته سنگ ، صخره
acaramelado	شيرين شده ، قندي
acaramelar	اب نبات ، نبات ، شيرين کردن ، نباتي کردن
acarciar	نوازش ، دلجويي ، دلنوازي کردن ، در اغوش کشيدن ، گيره اي که مته را در ماشين نگه ميدارد ، مرغک ، عزيزم,جانم ، جوجه مرغ تکان ، صدايي که براي راندن حيوان بکار ميرود ، نوازش کردن ، ناز ونياز کردن ، ضربه ، ضربت ، لطمه ، ضرب ، حرکت ، تکان ، لمس کردن ، دست کشيدن روي ، نوازش کردن ، زدن ، سرکش گذاردن (مثل سرکش روي حرف کاف)
acariciar	نوازش ، دلجويي ، دلنوازي کردن ، در اغوش کشيدن ، دراغوش گرفتن ، نوازش کردن ، در بستر راحت غنودن ، نوازش کردن ، ناز ونياز کردن ، گردن ، گردنه ، تنگه ، ماچ و نوازش کردن ، حيوان اهلي منزل ، دست اموز ، عزيز ، سوگلي ، معشوقه ، نوازش کردن ، بناز پروردن ، ضربه ، ضربت ، لطمه ، ضرب ، حرکت ، تکان ، لمس کردن ، دست کشيدن روي ، نوازش کردن ، زدن ، سرکش گذاردن (مثل سرکش روي حرف کاف)
acaso	پيش امد ، تصادف ، اتفاق ، حادثه ، اصول صرف و نحو ، قمار ، مخاطره ، خطر ، اتفاق ، در معرض مخاطره قرار دادن ، بخطر انداختن
acatar	پروا ، اعتنا ، توجه ، ملا حظه ، رعايت ، مراعات ، اعتناکردن (به) ، محل گذاشتن به ، ملا حظه کردن
acceder	دست يافتن ، رسيدن ، راه يافتن ، ناءل شدن ، نزديک شدن ، موافقت کردن ، رضايت دادن ، تن دردادن
accento	تکيه ء صدا ، علا مت تکيه ء صدا(بدين شکل ') ، لهجه ، طرز قراءت ، تلفظ ، قوت ، تاکيد ، تشديد ، مد(مادد) ، صدا يا اهنگ اکسان(فرانسه) ، :با تکيه تلفظ کردن ، تکيه دادن ، تاکيد کردن ، اهميت دادن
accesibilidad	دستيابي پذيري
accesible	دستيابي پذير
accesin	نزديکي ، ورود ، دخول ، پيشرفت ، افزايش ، نيل (بجاه و مقام بخصوص سلطنت) ، جلوس ، شيوع ، بروز ، تملک نماء ، شيي ء اضافه يا الحاق شده ، نماءات (حيوان و درخت) ، تابع وصول ، الحاق حقوق ، شرکت در مالکيت ، :بترتيب خريد وارد دفتروثبت کردن
acceso	دسترس ، دسترسي ، راه ، تقريب ، اجازه دخول ، راه دسترس ، مدخل ، وسيله حصول ، افزايش ، الحاق ، اضافه ، بروز مرض ، حمله ، اصابت ، دسترسي يا مجال مقاربت ، تقرب به خدا ، مشي ، نزديک شدن ، درون رفت ، وروديه ، اجازه ورود ، حق ورود ، دروازه ء دخول ، ورود ، مدخل ، بار ، درب مدخل ، اغاز(.وت) مدهوش کردن ، دربيهوشي ياغش انداختن ، ازخودبيخودکردن ، زيادشيفته کردن ، ثبت ، فقره ، قلم ، دخول ، مدخل ، ادخال
